id_som;lat;lon;nom;equipement;bus;rue;numrue;tourism;artiste;type_art;date_debut;panoramax;tourisme;nom_artiste
595783483;43.4932554;-1.4862931;;;;;;;;;;;;
704990053;43.4939092;-1.4866384;;;;;;;;;;;;
595783496;43.4903392;-1.4839955;;;;;;;;;;;;
3658946930;43.4905939;-1.4841295;;;;;;;;;;;;
1722019575;43.4977248;-1.4859198;;;;;;;;;;;;
705013944;43.4966938;-1.4865594;;;;;;;;;;;;
705032459;43.4916815;-1.4859492;;;;;;;;;;;;
705032468;43.4911668;-1.4868571;;;;;;;;;;;;
706198529;43.487972;-1.4883792;;;;;;;;;;;;
706198530;43.488216;-1.4878128;;;;;;;;;;;;
706198536;43.4892586;-1.4878783;;;;;;;;;;;;
706198537;43.4892587;-1.4881878;;;;;;;;;;;;
706198534;43.4887033;-1.487458;;;;;;;;;;;;
706198533;43.4888486;-1.4878337;;;;;;;;;;;;
706198602;43.492893;-1.4880998;;;;;;;;;;;;
706198601;43.4922161;-1.4885019;;;;;;;;;;;;
706302159;43.4907439;-1.4722175;;;;;;;;;;;;
706302167;43.4909557;-1.4721697;;;;;;;;;;;;
706302148;43.4905665;-1.4740837;;;;;;;;;;;;
597616411;43.4904726;-1.4731302;;;;;;;;;;;;
706302153;43.489484;-1.4734333;;;;;;;;;;;;
706302146;43.4894798;-1.4738233;;;;;;;;;;;;
706302144;43.4888898;-1.4728496;;;;;;;;;;;;
706302138;43.4892747;-1.4728972;;;;;;;;;;;;
706302243;43.4900104;-1.4718778;;;;;;;;;;;;
706302236;43.4897539;-1.471924;;;;;;;;;;;;
706302268;43.490316;-1.4714769;;;;;;;;;;;;
706302504;43.4903783;-1.4704616;;;;;;;;;;;;
706311222;43.4890155;-1.4673429;;;;;;;;;;;;
706311284;43.4883082;-1.4669652;;;;;;;;;;;;
