id_arete;parent;lstpoints;highway;nom;surface
369415578-2;369415578;[11787515125, 12361216509];footway;;asphalt
369415578-3;369415578;[12361216509, 254522018];footway;;asphalt
369428248-1;369428248;[3732162299, 3732162298];service;;asphalt
369428248-2;369428248;[3732162298, 5641466785, 3732162297, 1575406446];service;;asphalt
369713607-1;369713607;[269247916, 1464368274];living_street;Rue des Gouverneurs;concrete
369713607-2;369713607;[1464368274, 7531505241];living_street;Rue des Gouverneurs;concrete
369713607-3;369713607;[7531505241, 1828784578];living_street;Rue des Gouverneurs;concrete
369713608-1;369713608;[3734832287, 3734832288, 6326881685, 4434324837];pedestrian;Esplanade de l'Échauguette;gravel
369713608-2;369713608;[4434324837, 3734832290, 9245849844, 2013030589, 3734832281, 6528389290];pedestrian;Esplanade de l'Échauguette;gravel
369713608-3;369713608;[6528389290, 12685035969, 6528389289];pedestrian;Esplanade de l'Échauguette;gravel
369713608-4;369713608;[6528389289, 8264966598, 8264966599, 3734832279, 3734832280, 9623895004, 3734832278, 5487050177];pedestrian;Esplanade de l'Échauguette;gravel
369713608-5;369713608;[5487050177, 3734832277, 5480607896, 28334395, 8264966600, 3734832287];pedestrian;Esplanade de l'Échauguette;gravel
370039821-1;370039821;[3737650688, 7860398215, 7860398216, 3737650689, 3737650690];path;;asphalt
370039821-2;370039821;[3737650690, 9799456995, 3737650691, 9799456996, 5484526719];path;;asphalt
370039821-3;370039821;[5484526719, 3737650693, 3737650694, 7860398217, 5484526709];path;;asphalt
370039821-4;370039821;[5484526709, 5763327593];path;;asphalt
370039821-5;370039821;[5763327593, 5484526720, 7860398218, 7860398219, 2133890183];path;;asphalt
370039822-1;370039822;[3737650670, 3737650671, 5763327601, 3737650672, 5644331715, 3737650673, 5494661388, 3737650676, 3737650677, 7860398211, 3737650679, 3737650680, 5763327600, 3737650681, 5763327599];path;;asphalt
370039822-2;370039822;[5763327599, 3737650683];path;;asphalt
370039826-1;370039826;[3513549741, 3732064413];footway;;asphalt
370039826-2;370039826;[3732064413, 1829833001];footway;;asphalt
370039826-3;370039826;[1829833001, 1829833009];footway;;asphalt
370039826-4;370039826;[1829833009, 5484528563, 5484528565, 5484528564];footway;;asphalt
370039826-5;370039826;[5484528564, 1806155776];footway;;asphalt
370039826-6;370039826;[1806155776, 3737650695];footway;;asphalt
370039826-7;370039826;[3737650695, 5643154847, 5643154848, 5643154849];footway;;asphalt
370039829-1;370039829;[3737650683, 7860398213, 3737650684, 5763327595];path;;wood
370039829-2;370039829;[5763327595, 3737650686, 7860398214, 3737650687, 3737650688];path;;wood
370039830-1;370039830;[3737650707, 597617491];pedestrian;Quai Augustin Chaho;paving_stones
370039830-2;370039830;[597617491, 5484528553];pedestrian;Quai Augustin Chaho;paving_stones
370039830-3;370039830;[5484528553, 8870131926];pedestrian;Quai Augustin Chaho;paving_stones
370039830-4;370039830;[8870131926, 8870131919];pedestrian;Quai Augustin Chaho;paving_stones
